Bus Model,Operator,Year Started,Units,Type,Fuel,Capacity,Total Capacity
BYD C6,TTS,2019,4,SD,E,25,100
BYD K9RC,SBST,2020,20,SD,E,82,1640
CRRC C12,GAS,2021,1,SD,E,91,91
Linkker LM312,SBST,2021,10,SD,E,85,850
Linkker LM312,SMRT,2021,10,SD,E,85,850
MAN A22,TTS,2010,221,SD,D,92,20332
MAN A22,SBST,2010,221,SD,D,92,20332
MAN A22,GAS,2010,221,SD,D,92,20332
MAN A22,SMRT,2010,221,SD,D,92,20332
MAN A24,TTS,2013,13,SD,D,88,1144
MAN A24,SBST,2013,13,SD,D,88,1144
MAN A24,SMRT,2013,14,SD,D,88,1232
Mercedes-Benz Citaro,TTS,2010,289,SD,D,89,25721
Mercedes-Benz Citaro,SBST,2010,289,SD,D,89,25721
Mercedes-Benz Citaro,GAS,2010,289,SD,D,89,25721
Mercedes-Benz Citaro,SMRT,2010,288,SD,D,89,25632
Mercedes-Benz OC 500 LE,SMRT,2008,67,SD,D,92,6164
Mercedes-Benz OC 500 LE,TTS,2008,67,SD,D,92,6164
Scania K230UB,SBST,2007,1101,SD,D,89,97989
Volvo B5LH,TTS,2018,16,SD,D,84,1344
Volvo B5LH,SBST,2018,17,SD,D,84,1428
Volvo B5LH,SMRT,2018,17,SD,D,84,1428
Volvo B7RLE,SBST,2007,1,SD,D,1,1
Yutong E12,TTS,2020,4,SD,E,82,328
Yutong E12,SMRT,2020,3,SD,E,82,246
Yutong E12,GAS,2020,3,SD,E,82,246
Alexander Dennis Enviro500,SMRT,2014,88,DD,D,135,11880
Alexander Dennis Enviro500,SBST,2014,89,DD,D,135,12015
Alexander Dennis Enviro500,TTS,2014,89,DD,D,135,12015
BYD K9RC,SBST,2022,1,DD,E,82,82
MAN A95,TTS,2014,153,DD,D,136,20808
MAN A95,SBST,2014,152,DD,D,136,20672
MAN A95,GAS,2014,153,DD,D,136,20808
MAN A95,SMRT,2014,153,DD,D,136,20808
Scania K310UD,SBST,2010,1,DD,D,1,1
Volvo B9TL (CDGE),SBST,2006,200,DD,D,124,24800
Volvo B9TL (Gemilang),SBST,2014,1,DD,D,124,124
Volvo B9TL (Wright),TTS,2010,401,DD,D,124,49724
Volvo B9TL (Wright),SBST,2010,401,DD,D,124,49724
Volvo B9TL (Wright),GAS,2010,402,DD,D,124,49848
Volvo B9TL (Wright),SMRT,2010,402,DD,D,124,49848
Yutong E12DD,TTS,2020,3,DD,E,122,366
Yutong E12DD,GAS,2020,4,DD,E,122,488
Yutong E12DD,SMRT,2020,3,DD,E,122,366
