,Age,Year,Count
1,1,Y2018,909
2,1,Y2019,1098
3,1,Y2020,596
4,1,Y2021,607
5,2,Y2018,1661
6,2,Y2019,924
7,2,Y2020,1101
8,2,Y2021,605
9,3,Y2018,1768
10,3,Y2019,1664
11,3,Y2020,924
12,3,Y2021,1102
13,4,Y2018,1776
14,4,Y2019,1773
15,4,Y2020,1658
16,4,Y2021,924
17,5,Y2018,1659
18,5,Y2019,1778
19,5,Y2020,1759
20,5,Y2021,1645
21,6,Y2018,1298
22,6,Y2019,1654
23,6,Y2020,1746
24,6,Y2021,1746
25,7,Y2018,1125
26,7,Y2019,1295
27,7,Y2020,1601
28,7,Y2021,1725
29,8,Y2018,1464
30,8,Y2019,1124
31,8,Y2020,1251
32,8,Y2021,1575
33,9,Y2018,1060
34,9,Y2019,1456
35,9,Y2020,1082
36,9,Y2021,1213
37,10,Y2018,1311
38,10,Y2019,1039
39,10,Y2020,1413
40,10,Y2021,1028
41,11,Y2018,1319
42,11,Y2019,1240
43,11,Y2020,949
44,11,Y2021,1247
45,12,Y2018,655
46,12,Y2019,1279
47,12,Y2020,1202
48,12,Y2021,895
49,13,Y2018,780
50,13,Y2019,603
51,13,Y2020,1214
52,13,Y2021,1138
53,14,Y2018,499
54,14,Y2019,748
55,14,Y2020,572
56,14,Y2021,1147
57,15,Y2018,372
58,15,Y2019,415
59,15,Y2020,704
60,15,Y2021,530
61,16,Y2018,338
62,16,Y2019,316
63,16,Y2020,337
64,16,Y2021,570
65,17,Y2018,251
66,17,Y2019,318
67,17,Y2020,294
68,17,Y2021,309
69,18,Y2018,325
70,18,Y2019,185
71,18,Y2020,233
72,18,Y2021,253
73,19,Y2018,268
74,19,Y2019,239
75,19,Y2020,143
76,19,Y2021,190
77,20,Y2018,109
78,20,Y2019,178
79,20,Y2020,132
80,20,Y2021,71
